X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,r
Zc3h7a,1043.743475,-0.659662958,0.113683237,-5.802640533,6.53E-09,2.26E-08,1
Zc3h6,118.9430846,-1.394217971,0.245910749,-5.669609707,1.43E-08,4.85E-08,1
Zc3h4,935.0044459,-2.22004325,0.127991711,-17.34521114,2.14E-67,1.03E-65,1
Zc3h3,316.4360594,-1.423679362,0.154950487,-9.187963114,4.00E-20,2.65E-19,1
Zc3h18,538.5731766,-1.158227636,0.124544803,-9.299686607,1.41E-20,9.55E-20,1
Zc3h15,788.290183,0.546703755,0.129765835,4.213002247,2.52E-05,6.57E-05,1
Zc3h14,1064.972873,0.002465442,0.115387609,0.02136661,0.982953209,0.987550255,1
Zc3h13,291.1336974,-2.059640355,0.165188133,-12.4684523,1.11E-35,1.52E-34,1
Zc3h12d,12.10391511,-1.035661584,0.720142383,-1.438134471,0.150395904,0.227808718,1
Zc3h12c,222.2372231,-0.981645228,0.205471215,-4.77753162,1.77E-06,5.10E-06,1
Zc3h12b,19.50478684,-2.598498337,0.616323732,-4.216125715,2.49E-05,6.49E-05,1
Zc3h12a,248.8859689,-1.106424965,0.182840498,-6.051312369,1.44E-09,5.21E-09,1
Zc3h11a,1493.291746,-1.302913024,0.107263799,-12.14681035,5.96E-34,7.64E-33,1
Zc3h10,397.2737431,0.066874724,0.14167709,0.47202215,0.636910978,0.739836839,1
Zc2hc1c,16.69990772,0.093944431,0.576497343,0.162957266,0.870552082,0.913167648,1
Zc2hc1a,94.32113297,0.088565151,0.258843365,0.342157314,0.732232507,0.809927516,1
Zbtb9,236.183191,0.013473644,0.180258058,0.074746418,0.940416474,0.966616679,1
Zbtb8os,350.160572,1.798962996,0.168218696,10.6941918,1.08E-26,9.76E-26,1
